AAA,AVICON AVIATION CONSULTANTS & AGENTS
AAB,ABELAG AVIATION
AAC,ARMY AIR CORPS
AAD,ARRENDAMIENTOS AEREOS
AAE,AIR ATLANTA EUROPE
AAF,AIGLE AZUR
AAG,ARMENIAN AIRLINES LLC
AAH,"AEKO KULA, INC. D/B/A ALOHA AIR CARGO (HONOLULU, HI)"
AAI,"AIR AURORA, INC. (SUGAR GROVE, IL)"
AAJ,"ALFA AIRLINES CO., LTD"
AAK,"ALASKA ISLAND AIR, INC. (ANCHORAGE, AK)"
AAL,AMERICAN AIRLINES INC.
AAM,AIM AIR
AAN,CTR ATMOSPHERICA AVIATION A.S.
AAO,ALPHA AVIATION S.R.O.
AAP,ARABASCO AIR SERVICES
AAQ,"ASIA ATLANTIC AIRLINES CO., LTD"
AAR,ASIANA AIRLINES
AAS,ASKARI AVIATION (PVT) LTD
AAT,CONGO FALCON
AAU,AEROPA S.R.L.
AAV,"ASTRO AIR INTERNATIONAL, INC. DBA OF PAN PACIFIC AIRLINES"
AAW,AFRICAN AIRLINES CORPORATION
AAX,"ADVANCE AVIATION CO., LTD"
AAY,"ALLEGIANT AIR, INC. (FRESNO, CA)"
AAZ,AEOLUS AIR LIMITED
ABA,"AERO-BETA GMBH & CO., STUTTGART"
ABB,AIR BELGIUM SA
ABD,AIR ATLANTA ICELANDIC
ABE,ABAN AIR
ABF,"SCANWINGS OY, FINLAND"
ABG,"ROYAL FLIGHT AIRLINES, CJSC"
ABH,"HOKURIKU-KOUKUU CO., LTD"
ABI,"ALBA-AIR AVIACION, S.L."
ABJ,ATA - AEROTAXI ABAETE LTDA
ABK,AIRBUS CANADA
ABL,AIR BUSAN
ABM,AERO ALBATROS
ABN,AIR ALBANIA
ABO,AEROEXPRESO BOGOTA
ABP,ABS JETS
ABQ,"AIRBLUE LIMITED, M/S."
ABR,ASL AIRLINES (IRELAND) LIMITED
ABS,AFRIJET BUSINESS SERVICES (ABS)
ABT,BENIN AIRLINES
ABU,"EAGLE AVIATION SERVICES, INC. (FT. WORTH, TX)"
ABV,ASL AIRLINES UK
ABW,AIRBRIDGE CARGO AIRLINES LTD
ABX,"ABX AIR, INC. (WILMINGTON, OH)"
